"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DDD","3D Systems Corporation","6.65","790539817.2","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","152.22","87556391593.62","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","3.83","164693404.87","n/a","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"WUBA","58.com Inc.","54.01","8097837743.93","n/a","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","14.93","1547381838.22","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","1.62","34684885.26","n/a","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","45.11","7269041955.37","n/a","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","6.86","526756082.86","n/a","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AIR","AAR Corp.","19.07","669370272.72","n/a","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","42.77","2890035535.66","n/a","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","21.75","46405266733.5","n/a","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","87.3","154420196959.8","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","95.14","167669883479.44","n/a","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ANF","Abercrombie & Fitch Company","10.07","628124980.69","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"AGD","Aberdeen Global Dynamic Dividend Fund","8.89","111565775.09","n/a","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"AWP","Aberdeen Global Premier Properties Fund","4.6","392876574.6","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","9.15","159503678.4","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","7.55","101234446.8","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.6","801275584.8","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABM","ABM Industries Incorporated","35.57","2371314244.1","n/a","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AKR","Acadia Realty Trust","12.37","1064931271.32","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACEL","Accel Entertainment, Inc.","9.7","759089243.1","n/a","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"ACEL.WS","Accel Entertainment, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acel.ws",
"ACN","Accenture plc","201.84","128696309290.56","n/a","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","6.28","593222283.16","n/a","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ATV","Acorn International, Inc.","13.36","34481625.6","n/a","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"AYI","Acuity Brands, Inc. ","85.81","3401633339.36","n/a","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
